2015-07-13,1485,1494,1468.5,1475,6445000,1475
2015-07-10,1491,1497,1466,1470.5,8548000,1470.5
2015-07-09,1455.5,1483,1423,1480,12625000,1480
2015-07-08,1537.5,1544.5,1500.5,1500.5,8053000,1500.5
2015-07-07,1572.5,1576.5,1555.5,1559,4805000,1559
2015-07-06,1547,1563,1534,1542,6024000,1542
2015-07-03,1575,1577.5,1544,1571,8157000,1571
2015-07-02,1590,1598.5,1577.5,1581.5,5932000,1581.5
2015-07-01,1589.5,1592.5,1577,1586,4329000,1586
2015-06-30,1603.5,1605,1573.5,1582,6582000,1582
2015-06-29,1593,1599.5,1580,1586,5053000,1586
2015-06-26,1631,1636,1615,1632.5,4049000,1632.5
2015-06-25,1627,1642,1625,1633,4845000,1633
2015-06-24,1657.5,1672,1647,1648.5,5845000,1648.5
2015-06-23,1619.5,1649,1601,1647.5,7569000,1647.5
2015-06-22,1627,1635,1613,1619.5,8576000,1619.5
2015-06-19,1618,1633.5,1613,1627.5,9539000,1627.5
2015-06-18,1656,1656.5,1614.5,1614.5,6965000,1614.5
2015-06-17,1668.5,1676,1652,1657.5,5626000,1657.5
2015-06-16,1691,1696.5,1671,1677.5,4956000,1677.5
2015-06-15,1666,1685.5,1661.5,1682,3410000,1682
2015-06-12,1694.5,1694.5,1673.5,1684,8854000,1684
2015-06-11,1683,1695,1671,1679,6822000,1679
2015-06-10,1645.5,1688,1645.5,1667,10463000,1667
2015-06-09,1672,1674,1651,1654,5672000,1654
2015-06-08,1675,1682.5,1662,1674.5,4105000,1674.5
2015-06-05,1671,1679,1658.5,1671.5,5669000,1671.5
2015-06-04,1694,1694,1682,1686.5,5571000,1686.5
2015-06-03,1684,1699.5,1680,1694,3564000,1694
2015-06-02,1711,1713,1690,1691.5,4457000,1691.5
2015-06-01,1702.5,1702.5,1681.5,1693,4341000,1693
2015-05-29,1700,1709.5,1682,1705,8361000,1705
2015-05-28,1693,1718,1692,1707.5,7305000,1707.5
2015-05-27,1673.5,1679.5,1664,1679,5104000,1679
2015-05-26,1673.5,1678,1658,1671.5,4319000,1671.5
