,2317,2327,3626,4307,4684,4726,4793,4812,8056,9613,9640,9682,9719,9739,9742
2015-06-24,67.59,50.66,62.97,59.18,55.12,66.25,67.71,64.28,57.81,52.71,52.66,54.38,55.7,62.95,60.2
2015-06-25,67.72,49.12,61.98,56.64,55.7,64.8,67.6,60.99,55.45,52.14,55.03,54.53,54.55,63.75,56.08
2015-06-26,66.7,50.75,60.4,57.75,57.2,65.63,61.75,60.85,57.94,52.83,56.85,54.86,54.78,63.1,56.48
2015-06-29,60.75,46.97,56.8,56.08,56.08,58.95,61.65,61.65,54.08,46.47,54.84,51.45,53.0,57.25,54.91
2015-06-30,63.1,51.34,55.92,55.15,58.09,59.56,62.32,62.29,57.85,46.7,56.5,52.29,54.99,57.09,57.09
2015-07-01,65.97,51.76,54.24,53.51,58.55,58.74,63.75,65.79,60.74,47.44,54.86,49.36,55.38,58.23,57.62
2015-07-02,70.53,51.78,57.4,51.86,59.07,58.24,62.34,65.97,62.5,49.29,53.54,49.13,53.75,58.95,57.19
2015-07-03,69.06,50.51,59.11,52.78,58.62,54.76,57.6,63.86,64.07,48.29,52.67,50.12,54.32,59.1,55.94
2015-07-06,67.9,48.68,58.73,52.05,58.19,50.42,56.25,63.32,60.72,44.89,50.69,47.03,53.17,55.48,56.26
2015-07-07,70.89,47.23,58.55,52.32,61.26,53.44,58.96,65.64,60.39,47.15,49.05,46.2,52.63,59.67,54.78
2015-07-08,63.97,43.42,55.72,49.78,56.5,50.43,60.74,65.8,57.09,44.07,49.51,46.38,48.4,57.48,50.88
2015-07-09,62.25,43.81,56.26,50.57,56.5,49.15,57.31,64.21,55.56,42.65,47.44,45.61,48.53,57.75,52.06
2015-07-10,63.21,45.48,55.35,51.98,55.71,50.33,56.3,62.95,56.62,43.26,47.47,46.35,47.58,58.18,50.39
2015-07-13,62.04,48.69,56.69,59.25,56.56,50.22,56.32,63.11,60.18,48.66,52.06,47.43,49.87,59.47,52.26
2015-07-14,63.84,48.32,56.91,58.53,55.96,50.59,59.37,62.48,61.56,49.87,53.25,48.56,51.45,59.61,51.24
2015-07-15,62.8,48.33,57.99,57.37,55.6,52.44,61.39,63.71,63.3,49.35,54.33,47.36,51.74,60.94,49.68
2015-07-16,61.52,51.38,59.35,60.22,57.42,53.32,68.04,70.24,63.2,51.05,55.76,49.95,50.87,61.35,51.82
2015-07-17,64.07,51.97,57.91,61.98,58.28,54.61,69.63,67.47,62.71,49.84,54.43,50.49,50.46,61.25,52.68
2015-07-21,63.46,51.58,56.89,61.1,57.29,52.96,70.08,66.24,62.37,52.07,56.05,52.28,53.33,60.36,52.83
2015-07-22,61.43,52.19,57.11,61.0,56.6,52.31,70.15,66.19,60.14,51.97,56.12,52.76,53.74,61.39,54.36
2015-07-23,60.3,53.49,55.34,60.73,53.97,53.08,67.11,64.42,60.4,50.73,57.93,53.16,53.5,63.32,55.84
2015-07-24,61.77,55.26,56.4,62.01,53.0,51.94,66.32,62.44,59.31,52.58,54.08,52.45,52.93,61.49,54.54
2015-07-27,62.76,56.89,55.57,60.56,50.76,51.56,66.75,62.86,56.56,54.42,59.83,53.46,53.32,56.95,50.05
2015-07-28,60.37,62.51,55.48,58.98,51.34,50.03,67.01,61.85,55.61,53.85,50.11,53.98,55.16,47.72,50.68
2015-07-29,63.9,66.12,57.81,59.44,54.77,51.2,56.3,62.22,59.72,57.88,51.96,55.59,58.26,49.42,50.13
2015-07-30,63.83,66.33,57.76,58.92,55.67,50.86,56.37,62.18,58.24,58.45,50.39,55.49,63.77,53.1,49.47
2015-07-31,61.97,67.06,53.87,60.71,54.5,49.33,57.44,63.14,58.36,58.07,52.22,55.34,62.54,51.46,45.91
2015-08-03,62.67,66.61,55.18,60.52,56.13,49.43,56.77,62.7,58.03,59.5,51.85,55.16,62.09,53.07,45.56
2015-08-04,61.65,67.49,55.28,61.3,55.37,47.5,55.93,62.08,58.08,60.13,52.22,63.97,61.53,51.68,46.66
2015-08-05,60.83,68.33,55.61,61.73,56.73,46.22,55.48,58.92,59.76,58.87,51.34,57.25,62.62,50.25,48.5
2015-08-06,62.17,66.88,54.83,63.46,58.3,44.75,54.27,57.8,60.0,58.19,51.98,56.01,59.91,52.04,47.19
2015-08-07,60.77,67.38,54.49,64.63,56.04,43.68,55.59,56.06,60.04,56.67,50.57,56.96,59.64,51.99,47.47
2015-08-10,60.75,66.31,54.37,63.54,56.54,43.61,48.45,54.46,58.66,55.47,51.33,56.85,59.11,51.34,46.0
2015-08-11,60.0,64.74,54.16,63.6,57.19,43.93,50.3,54.35,58.89,56.88,50.69,56.49,59.25,52.23,47.17
2015-08-12,58.71,64.46,55.9,64.74,57.35,42.71,50.42,53.04,58.18,54.68,52.38,53.88,60.2,50.99,48.04
2015-08-13,58.2,64.39,55.3,64.7,58.91,41.17,49.65,51.36,59.61,55.07,51.75,52.14,60.92,52.36,48.52
