0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1176.9,1182.2,1184.8,1186.9,1192.9,1201.4,1207.5,1212.7,1218.0,1220.5,1223.7,1226.1,1231.2,1234.8,1235.3,1236.0,1236.9,1238.5,1238.1,1239.7,1243.4,1249.4,1255.1,1260.8,1269.3,1272.0,1275.8,1281.0,1285.3,1288.6,1290.1,1289.8,1289.3,1293.5,1296.4,1303.5,1308.7,1311.1,1313.7,1316.8,1318.8,1320.7,1321.7,1320.4,1321.9,1324.9,1332.1,1339.9,1345.6,1348.6,1351.0
877.6,879.1,879.6,879.4,877.4,875.8,875.6,876.0,876.8,877.1,876.3,873.4,869.4,864.6,863.8,867.2,867.1,870.3,872.5,879.3,885.8,893.7,906.1,917.0,923.3,925.0,928.6,932.1,934.2,934.4,935.7,939.4,938.3,941.0,944.1,946.7,949.7,948.0,950.8,952.3,954.2,953.1,951.8,947.9,948.1,948.2,954.6,963.0,971.6,980.6,983.8
5453.5,5495.0,5459.0,5419.5,5382.5,5342.5,5257.5,5165.0,5093.0,5058.0,5029.0,4990.0,4995.0,5011.5,5026.0,5019.0,5038.5,5061.0,5036.0,5021.0,5005.0,5006.0,5017.0,5030.0,5041.5,5053.5,5056.0,5046.5,5053.5,5057.5,5061.5,5075.5,5092.5,5116.5,5131.5,5137.5,5139.5,5139.5,5137.5,5127.5,5123.5,5109.5,5088.5,5066.5,5070.5,5096.5,5134.5,5182.0,5224.0,5264.0,5291.0
5335.0,5369.0,5403.0,5431.0,5459.0,5476.0,5490.0,5492.0,5498.0,5507.0,5514.0,5508.0,5499.0,5483.0,5466.0,5442.0,5400.0,5372.0,5332.0,5305.0,5283.0,5277.0,5279.0,5288.0,5297.0,5318.0,5347.0,5371.0,5407.0,5432.0,5452.0,5474.0,5483.0,5495.0,5503.0,5506.0,5494.0,5476.0,5470.0,5463.0,5455.0,5438.0,5423.0,5397.0,5372.0,5350.0,5354.0,5363.0,5363.0,5367.0,5353.0
943.9,953.0,959.8,965.8,971.9,974.0,976.9,979.0,981.1,981.7,993.9,1009.3,1024.3,1036.3,1047.7,1062.5,1074.9,1087.9,1100.4,1114.9,1114.1,1112.8,1112.9,1117.8,1128.1,1139.7,1152.0,1162.4,1170.8,1178.2,1189.7,1198.9,1210.6,1226.8,1238.9,1245.2,1245.6,1248.0,1255.5,1260.7,1266.5,1269.4,1268.6,1264.0,1264.9,1267.8,1278.6,1289.8,1292.4,1298.7,1300.9
888.5,888.1,885.2,885.1,886.3,886.5,885.7,884.8,884.8,883.9,882.9,881.4,879.3,879.3,881.8,886.6,891.9,896.9,900.6,903.9,907.5,911.2,916.2,919.6,922.6,925.6,927.4,931.1,935.4,940.6,947.4,955.6,963.3,972.9,982.6,992.1,1001.1,1007.0,1013.4,1018.6,1022.5,1023.6,1027.6,1029.0,1032.0,1033.9,1036.8,1041.3,1044.9,1048.1,1047.5
2272.2,2280.3,2282.6,2287.6,2294.8,2304.7,2309.4,2317.9,2326.4,2333.2,2340.4,2352.3,2357.5,2359.0,2365.0,2379.5,2387.0,2410.6,2431.2,2449.1,2463.1,2474.5,2499.8,2526.3,2546.1,2558.8,2577.4,2577.9,2584.1,2597.6,2614.7,2625.6,2628.5,2639.2,2648.1,2652.2,2650.1,2652.7,2657.6,2659.4,2661.5,2665.1,2669.4,2668.6,2676.0,2686.3,2705.6,2723.8,2734.6,2746.0,2745.6
4146.38,4164.1,4168.180000000001,4157.72,4151.8099999999995,4152.73,4147.280000000001,4141.360000000001,4153.17,4173.17,4190.9,4209.08,4225.9,4253.17,4273.169999999999,4289.069999999999,4312.249999999999,4334.53,4335.9,4335.4400000000005,4335.89,4343.62,4365.9,4376.81,4389.08,4402.26,4410.45,4413.629999999999,4424.539999999999,4422.2699999999995,4429.55,4437.28,4437.7300000000005,4441.82,4439.549999999999,4429.099999999999,4412.7300000000005,4399.55,4393.64,4403.19,4402.280000000001,4391.820000000001,4385.0,4376.37,4378.1900000000005,4384.5599999999995,4406.379999999999,4429.1,4434.55,4430.91,4421.36
3842.0,3857.0,3848.5,3841.0,3826.5,3811.0,3790.0,3769.5,3762.0,3762.0,3766.0,3793.5,3815.5,3842.5,3868.0,3893.5,3917.5,3942.5,3957.0,3976.5,3989.5,3994.5,4014.0,4029.5,4051.0,4064.5,4078.5,4081.0,4088.0,4085.0,4084.0,4082.5,4065.0,4053.0,4046.5,4034.5,4009.0,3994.5,3980.0,3977.5,3973.0,3960.5,3961.5,3957.5,3948.5,3950.0,3969.5,3994.0,4009.5,4012.5,4003.0
1309.4,1316.2,1316.6,1319.0,1318.2,1316.6,1313.8,1311.7,1310.4,1307.6,1303.6,1299.7,1298.3,1293.8,1291.9,1291.4,1290.3,1290.3,1291.7,1291.8,1291.2,1290.6,1289.0,1288.2,1287.5,1285.2,1283.8,1281.9,1278.4,1277.3,1280.1,1281.7,1284.5,1288.3,1290.5,1292.2,1292.9,1294.1,1296.0,1297.0,1298.2,1297.4,1294.1,1290.3,1287.4,1285.1,1283.7,1282.6,1282.9,1283.6,1279.3
